date,open,high,low,close
1717984800,0.00027632,0.00027707,0.00027290,0.00027358
1717988400,0.00027357,0.00027441,0.00027046,0.00027104
1717992000,0.00027102,0.00027357,0.00026943,0.00027292
1717995600,0.00027291,0.00027300,0.00026811,0.00026903
1717999200,0.00026903,0.00027031,0.00026387,0.00026565
1718002800,0.00026565,0.00026589,0.00025783,0.00025815
1718006400,0.00025815,0.00026857,0.00025777,0.00026823
1718010000,0.00026823,0.00027186,0.00026670,0.00027032
1718013600,0.00027034,0.00027187,0.00026939,0.00027016
1718017200,0.00027010,0.00027080,0.00026751,0.00026904
1718020800,0.00026906,0.00026937,0.00026336,0.00026467
1718024400,0.00026467,0.00026697,0.00026216,0.00026402
1718028000,0.00026403,0.00026830,0.00026196,0.00026601
1718031600,0.00026602,0.00027794,0.00026480,0.00027653
1718035200,0.00027656,0.00027693,0.00027157,0.00027473
1718038800,0.00027473,0.00027564,0.00027135,0.00027521
1718042400,0.00027521,0.00027645,0.00027167,0.00027225
1718046000,0.00027225,0.00027272,0.00026305,0.00026664
1718049600,0.00026665,0.00026672,0.00026252,0.00026322
1718053200,0.00026322,0.00026438,0.00026160,0.00026263
1718056800,0.00026262,0.00026488,0.00026041,0.00026472
1718060400,0.00026469,0.00026611,0.00026260,0.00026478
1718064000,0.00026476,0.00026642,0.00026193,0.00026319
1718067600,0.00026319,0.00026353,0.00024974,0.00025407
1718071200,0.00025404,0.00025685,0.00024788,0.00025264
1718074800,0.00025260,0.00025302,0.00024789,0.00025010
1718078400,0.00025004,0.00025221,0.00024600,0.00024947
1718082000,0.00024948,0.00024949,0.00024686,0.00024890
1718085600,0.00024889,0.00025017,0.00024500,0.00024722
1718089200,0.00024723,0.00024996,0.00024506,0.00024613
1718092800,0.00024615,0.00024913,0.00024405,0.00024836
1718096400,0.00024831,0.00025300,0.00024703,0.00024776
1718100000,0.00024779,0.00025241,0.00024696,0.00024748
1718103600,0.00024748,0.00024922,0.00024600,0.00024624
1718107200,0.00024624,0.00024970,0.00024420,0.00024462
1718110800,0.00024460,0.00024840,0.00023835,0.00024190
1718114400,0.00024189,0.00024764,0.00024093,0.00024439
1718118000,0.00024439,0.00024639,0.00024283,0.00024511
